Frame,Opponent x,Opponent y,AI x,AI y,Opponent Facing,AI Facing,Opponent Action,AI Action,Opponent Action Frame,AI Action Frame,Opponent Jumps Left,AI Jumps Left,Opponent Stock,AI Stock,Opponent Percent,AI Percent,Buttons Pressed,Notes,Frame Process Time
-86,42.0,29.25777,-42.0,27.812849,False,True,Action.ENTRY_START,Action.ENTRY_END,11,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-85,42.0,29.30269,-42.0,27.76793,False,True,Action.ENTRY_START,Action.ENTRY_END,11,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-84,42.0,29.34761,-42.0,27.72301,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-83,42.0,29.30269,-42.0,27.67809,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-82,42.0,29.25777,-42.0,27.63317,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-81,42.0,29.212849,-42.0,27.588247,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-80,42.0,29.167929,-42.0,27.543327,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-79,42.0,29.123009,-42.0,27.498407,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-78,42.0,29.078089,-42.0,27.453487,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-77,42.0,29.033169,-42.0,27.408567,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-76,42.0,28.988247,-42.0,27.363646,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-75,42.0,28.943327,-42.0,27.318726,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-74,42.0,28.898407,-42.0,27.273806,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-73,42.0,28.853487,-42.0,27.228886,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-72,42.0,28.808567,-42.0,27.183966,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-71,42.0,28.763645,-42.0,27.139044,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-70,42.0,28.718725,-42.0,27.094124,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-69,42.0,28.673805,-42.0,27.049204,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-68,42.0,28.628885,-42.0,27.004284,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
